PUT | apple | red
PUT | rose | pink
DELETE | apple
PUT | apple | red
PUT | rose | pink
DELETE | apple
PUT | apple | red
PUT | apple | red
PUT | apple | red
PUT | apple | red
PUT | apple | red
PUT | apple | red
PUT | apple | red
PUT | apple | red
PUT | apple | red
PUT | apple | red
PUT | apple | red
PUT | rose | red
PUT | ball | red
PUT | light | red
PUT | apple | red
PUT | rose | red
PUT | ball | red
PUT | light | red
PUT | pen | red
PUT | apple | red
PUT | rose | red
PUT | ball | red
PUT | light | red
PUT | pen | red
PUT | apple | red
PUT | rose | red
PUT | ball | red
PUT | light | red
PUT | pen | red
PUT | reel | red
PUT | apple | red
PUT | rose | red
PUT | ball | red
PUT | light | red
PUT | pen | red
PUT | reel | red
PUT | apple | red
PUT | rose | red
PUT | ball | red
PUT | light | red
PUT | pen | red
PUT | reel | red
